Country/Region,Year of estimate,Adult prevalence of HIV/AIDS,Number of people with HIV/AIDS,Annual deaths from HIV/AIDS,Cluster
Ÿeswatini,2024,0.28300000000000003,240000.0,3000.0,2
Ÿlesotho,2025,0.262,445000.0,7000.0,2
Ÿbotswana,2025,0.228,399100.0,5275.0,2
Ÿzimbabwe,2024,0.221,1660000.0,25600.0,2
Ÿsouth Africa,2025,0.14400000000000002,9400000.0,80000.0,1
Ÿmozambique,2024,0.1265,2485000.0,59100.0,1
Ÿmalawi,2024,0.114,1642570.0,15270.0,0
Ÿequatorial Guinea,2024,0.0766,74165.0,2400.0,0
Ÿtanzania,2025,0.07,3300000.0,39000.0,1
Ÿkenya,2023,0.051,1710000.0,24000.0,0
Ÿuganda,2023,0.05,1590000.0,23300.0,0
Ÿtogo,2024,0.052000000000000005,220440.0,6600.0,0
Ÿcameroon,2023,0.04,530000.0,14600.0,0
Ÿgabon,2025,0.045,68000.0,4800.0,0
Ÿcentral African Republic,2024,0.04,126200.0,4400.0,0
Ÿguineabissau,2023,0.0365,42000.0,2200.0,0
Ÿcongo Republic Of The,2024,0.0377,110840.0,6700.0,0
Ÿbarbados,2023,0.009000000000000001,2100.0,0.0,0
Ÿrwanda,2016,0.028999999999999998,230000.0,2800.0,0
Ÿcte Divoire,2016,0.027000000000000003,430000.0,13000.0,0
Ÿsouth Sudan,2016,0.024,190000.0,9100.0,0
Ÿgambia The,2023,0.024,31000.0,1540.0,0
Ÿhaiti,2023,0.022000000000000002,180000.0,3000.0,0
Ÿnigeria,2024,0.022000000000000002,2450000.0,56500.0,1
Ÿbelize,2025,0.03,6000.0,0.0,0
Ÿangola,2024,0.021,355000.0,15000.0,0
Ÿghana,2025,0.02,361897.0,22000.0,0
Ÿbahamas The,2018,0.018000000000000002,6000.0,0.0,0
Ÿjamaica,2019,0.0165,32000.0,1000.0,0
Ÿsaint Vincent And The Grenadinesÿ9,2023,0.016,860.0,0.0,0
Ÿrussian Federation10,2023,0.015,24000.0,24000.0,0
Ÿliberia,2023,0.015,50000.0,2300.0,0
Ÿsierra Leone,2019,0.015,78000.0,2600.0,0
Ÿguinea,2016,0.013999999999999999,110000.0,3100.0,0
Ÿguyana,2019,0.013999999999999999,8700.0,0.0,0
Ÿsuriname,2019,0.013000000000000001,5800.0,0.0,0
Ÿdjibouti,2024,0.015,9100.0,0.0,0
Ÿburundi,2016,0.012,85000.0,1800.0,0
Ÿchad,2016,0.012,120000.0,3200.0,0
Ÿmali,2016,0.012,140000.0,5800.0,0
Ÿtrinidad And Tobago,2016,0.012,11000.0,0.0,0
Ÿthailand,2024,0.0131,800000.0,25000.0,0
Ÿethiopia,2024,0.013999999999999999,760000.0,25000.0,0
Ÿukraine,2023,0.011000000000000001,260000.0,9100.0,0
Ÿbenin,2016,0.01,67000.0,2400.0,0
Ÿdominican Republic,2024,0.01,67000.0,2200.0,0
Ÿpapua New Guinea,2016,0.009000000000000001,46000.0,1100.0,0
Ÿcabo Verde,2016,0.008,2800.0,0.0,0
Ÿpanama,2024,0.013000000000000001,42000.0,0.0,0
Ÿmyanmar,2024,0.012,281000.0,8400.0,0
Ÿburkina Faso,2016,0.008,95000.0,3100.0,0
Ÿcongo Democratic Republic Of,2016,0.006999999999999999,370000.0,19000.0,0
Ÿgeorgia,2024,0.01,25000.0,0.0,0
Ÿlatvia,2024,0.0085,8000.0,0.0,0
Ÿcambodia,2024,0.011000000000000001,172000.0,3700.0,0
Ÿvenezuela,2024,0.006999999999999999,160000.0,4700.0,0
Ÿmoldova,2024,0.011000000000000001,23800.0,0.0,0
Ÿbrazil,2021,0.006,1250000.0,18400.0,0
Ÿeritrea,2016,0.006,15000.0,0.0,0
Ÿel Salvador,2016,0.006,24000.0,0.0,0
Ÿuruguay,2024,0.011000000000000001,46000.0,0.0,0
Ÿmauritania,2016,0.005,11000.0,0.0,0
Ÿchile,2024,0.02,155000.0,0.0,0
Ÿguatemala,2016,0.005,46000.0,1600.0,0
Ÿparaguay,2024,0.011000000000000001,27850.0,0.0,0
Ÿportugal,2024,0.005,47000.0,0.0,0
Ÿniger,2016,0.004,48000.0,3400.0,0
Ÿmalaysia,2024,0.003,110000.0,7400.0,0
Ÿindonesia,2024,0.005,660000.0,47000.0,1
Ÿhonduras,2016,0.004,21000.0,0.0,0
Ÿcuba,2024,0.011000000000000001,35000.0,0.0,0
Ÿcosta Rica,2016,0.004,13000.0,0.0,0
Ÿcolombia,2024,0.006,145000.0,5250.0,0
Ÿargentina,2024,0.006500000000000001,150000.0,3100.0,0
Ÿbelarus,2016,0.01,24000.0,0.0,0
Ÿsenegal,2024,0.023,54000.0,5100.0,0
Ÿunited States,2024,0.0042,1427155.0,0.0,0
Ÿbolivia,2023,0.004,24000.0,0.0,0
Ÿfrance,2024,0.003,231791.0,0.0,0
Ÿmexico,2024,0.0075,371820.0,5120.0,0
Ÿecuador,2016,0.003,33000.0,0.0,0
Ÿperu,2016,0.003,70000.0,2200.0,0
Ÿitaly,2024,0.003,200000.0,0.0,0
Ÿlaos,2016,0.003,11000.0,0.0,0
Ÿspain,2024,0.006999999999999999,188000.0,0.0,0
Ÿtajikistan,2016,0.003,14000.0,0.0,0
Ÿvietnam,2024,0.006999999999999999,271000.0,5200.0,0
Ÿarmenia,2016,0.002,3300.0,0.0,0
Ÿindia,2024,0.002,2300000.0,35000.0,1
Ÿkazakhstan,2024,0.004,52000.0,0.0,0
Ÿkyrgyzstan,2016,0.002,8500.0,0.0,0
Ÿlithuania,2024,0.0045000000000000005,11000.0,0.0,0
Ÿmadagascar,2016,0.002,31000.0,1600.0,0
Ÿÿÿnepal,2024,0.0092,46000.0,3500.0,0
Ÿnamibia,2021,0.11814,24000.0,0.0,0
Ÿgermany,2023,0.0025,100000.0,0.0,0
Ÿcanada,2023,0.0021,75000.0,0.0,0
Ÿnetherlands,2024,0.005,59900.0,0.0,0
Ÿnicaragua,2016,0.002,8900.0,0.0,0
